timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,left_image,right_image
1762110135640,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135641,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135642,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135645,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135648,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135649,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135650,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135650,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135651,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135652,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135652,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135653,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135653,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135654,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135654,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135655,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135655,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135655,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135656,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762110135656,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
