timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,left_image,right_image
1762109831876,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831877,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831878,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831879,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831880,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831881,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831882,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831882,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831883,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831883,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831884,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831884,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831885,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831885,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831886,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831886,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831886,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831887,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831887,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
1762109831887,1.9,2.8,3.7,4.6,5.5,6.4,7.2,8.1,9,,
